"국가별",2019,2019,2020,2020,2021,2021
"국가별",관광 수입 (100만달러),관광 지출 (100만달러),관광 수입 (100만달러),관광 지출 (100만달러),관광 수입 (100만달러),관광 지출 (100만달러)
"아시아",,,,,,
"대한민국",20900,32700,10300,16100,10500,16700
"중국",35800,254600,10000,131100,11300,105700
"인도",30700,22900,13000,12600,8800,14300
"인도네시아",16900,11300,3400,1700,-,-
"일본",46100,21300,10700,5500,4700,2800
"사우디아라비아",16400,15100,4000,8800,3800,12200
"튀르키예",29800,4100,10200,-,20800,1700
"북아메리카",,,,,,
"캐나다",29800,35300,13500,12100,13100,7700
"멕시코",24600,9900,11000,3500,19800,5100
"미국",199000,132300,72500,34200,70200,56900
"남아메리카",,,,,,
"아르헨티나",-,7900,-,2900,-,-
"브라질",6000,17600,3000,5400,2900,5200
"유럽",,,,,,
"프랑스",63500,50500,32600,27800,40800,34800
"독일",41800,93200,22100,38900,22200,48200
"이탈리아",49600,30300,19800,10900,25200,15000
"러시아",11000,36200,3900,9100,4000,11400
"영국",52700,70600,18900,21700,22700,24300
"아프리카",,,,,,
"남아프리카공화국",8400,-,2500,-,-,-
"오세아니아",,,,,,
"오스트레일리아",45700,34700,25800,6900,17000,-
