"국가별",2019,2019,2020,2020,2021,2021
"국가별",관광 수입 (100만달러),관광 지출 (100만달러),관광 수입 (100만달러),관광 지출 (100만달러),관광 수입 (100만달러),관광 지출 (100만달러)
"아시아",,,,,,
"대한민국",20900,32700,10300,16100,10500,16700
"이스라엘",7600,8200,2500,1800,2200,3200
"일본",46100,21300,10700,5500,4700,2800
"튀르키예",29800,4100,10200,-,20800,1700
"북아메리카",,,,,,
"캐나다",29800,35300,13500,12100,13100,7700
"멕시코",24600,9900,11000,3500,19800,5100
"미국",199000,132300,72500,34200,70200,56900
"남아메리카",,,,,,
"콜롬비아",-,4900,-,1400,2700,2600
"유럽",,,,,,
"오스트리아",22900,11600,13800,4500,10400,8100
"벨기에",8900,18800,6600,13000,6600,14700
"체코",7300,5900,3600,3400,3100,3200
"덴마크",8700,10000,4000,5600,4500,6900
"핀란드",-,5700,-,1700,-,1400
"프랑스",63500,50500,32600,27800,40800,34800
"독일",41800,93200,22100,38900,22200,48200
"그리스",20400,-,4900,-,12400,-
"헝가리",7300,-,3200,-,4100,1500
"아일랜드",6500,8300,2400,2600,2700,2600
"이탈리아",49600,30300,19800,10900,25200,15000
"룩셈부르크",5800,-,4800,2800,5200,3800
"네덜란드",18600,20500,9700,7400,9400,9900
"노르웨이",5900,16100,1800,3600,-,3600
"폴란드",14000,9300,8200,5300,9100,5700
"포르투갈",20500,5700,8800,3100,11900,4200
"스페인",79700,27800,18500,8600,34500,12200
"스웨덴",9200,14400,4300,6200,6100,8400
"스위스",18100,18900,10000,10300,10300,11200
"영국",52700,70600,18900,21700,22700,24300
"오세아니아",,,,,,
"오스트레일리아",45700,34700,25800,6900,17000,-
"뉴질랜드",10500,4300,5800,1400,2900,-
