"국가별",2019,2019,2020,2020,2021,2021
"국가별",외래 관광객,해외 관광객,외래 관광객,해외 관광객,외래 관광객,해외 관광객
"아시아",,,,,,
"대한민국",17500,28700,2500,4300,-,-
"이스라엘",-,9200,-,1500,-,-
"일본",31900,20100,4100,3200,-,-
"튀르키예",51200,9700,15900,2200,29900,-
"북아메리카",,,,,,
"캐나다",22100,26600,3000,5000,3100,-
"멕시코",45000,19800,24300,7300,31900,-
"미국",79400,99700,19200,33500,22100,-
"남아메리카",,,,,,
"칠레",-,3300,-,1000,-,-
"콜롬비아",-,4500,-,1300,2100,-
"유럽",,,,,,
"오스트리아",31900,11900,15100,4000,12700,-
"벨기에",9300,14200,2600,5900,3200,-
"체코",14700,7300,3900,-,-,-
"덴마크",14800,9100,5900,4200,-,-
"핀란드",-,9400,-,2300,-,-
"프랑스",90900,30400,41700,11900,48400,-
"독일",39600,99500,12400,-,11700,-
"그리스",31300,7800,7400,2300,14700,-
"헝가리",16900,9400,7400,3900,7900,-
"아일랜드",11000,9400,-,2300,-,-
"이탈리아",64500,34700,25200,12000,26900,-
"룩셈부르크",-,-,-,1500,-,-
"네덜란드",20100,-,7300,-,6200,-
"노르웨이",-,8900,-,1700,-,-
"폴란드",21200,13500,8400,6200,9700,-
"포르투갈",24600,-,6500,-,9600,-
"슬로바키아",-,5200,3200,1000,-,-
"슬로베니아",-,-,-,1100,1800,-
"스페인",83500,19800,18900,4900,31200,-
"스웨덴",7400,18000,1800,4200,-,-
"스위스",11800,13400,3700,6100,4400,-
"영국",39400,93100,10700,23800,-,-
"오세아니아",,,,,,
"오스트레일리아",9500,11600,1800,2800,-,-
